step,episode,episode_return,episode_length,seed
2048,1,14.0,14,2
2048,2,26.0,26,2
2048,3,20.0,20,2
2048,4,12.0,12,2
2048,5,19.0,19,2
2048,6,14.0,14,2
2048,7,10.0,10,2
2048,8,31.0,31,2
2048,9,18.0,18,2
2048,10,12.0,12,2
2048,11,30.0,30,2
2048,12,12.0,12,2
2048,13,17.0,17,2
2048,14,18.0,18,2
2048,15,18.0,18,2
2048,16,19.0,19,2
2048,17,23.0,23,2
2048,18,18.0,18,2
2048,19,20.0,20,2
2048,20,15.0,15,2
2048,21,22.0,22,2
2048,22,17.0,17,2
2048,23,17.0,17,2
2048,24,11.0,11,2
2048,25,14.0,14,2
2048,26,19.0,19,2
2048,27,36.0,36,2
2048,28,13.0,13,2
2048,29,13.0,13,2
2048,30,12.0,12,2
2048,31,15.0,15,2
2048,32,26.0,26,2
2048,33,22.0,22,2
2048,34,21.0,21,2
2048,35,22.0,22,2
2048,36,17.0,17,2
2048,37,13.0,13,2
2048,38,14.0,14,2
2048,39,18.0,18,2
2048,40,29.0,29,2
2048,41,11.0,11,2
2048,42,17.0,17,2
2048,43,15.0,15,2
2048,44,30.0,30,2
2048,45,73.0,73,2
2048,46,13.0,13,2
2048,47,34.0,34,2
2048,48,26.0,26,2
2048,49,11.0,11,2
2048,50,14.0,14,2
2048,51,11.0,11,2
2048,52,17.0,17,2
2048,53,54.0,54,2
2048,54,24.0,24,2
2048,55,15.0,15,2
2048,56,35.0,35,2
2048,57,23.0,23,2
2048,58,20.0,20,2
2048,59,15.0,15,2
2048,60,10.0,10,2
2048,61,16.0,16,2
2048,62,14.0,14,2
2048,63,21.0,21,2
2048,64,15.0,15,2
2048,65,40.0,40,2
2048,66,22.0,22,2
2048,67,13.0,13,2
2048,68,14.0,14,2
2048,69,13.0,13,2
2048,70,12.0,12,2
2048,71,41.0,41,2
2048,72,24.0,24,2
2048,73,14.0,14,2
2048,74,14.0,14,2
2048,75,16.0,16,2
2048,76,19.0,19,2
2048,77,47.0,47,2
2048,78,31.0,31,2
2048,79,20.0,20,2
2048,80,27.0,27,2
2048,81,20.0,20,2
2048,82,11.0,11,2
2048,83,22.0,22,2
2048,84,19.0,19,2
2048,85,10.0,10,2
2048,86,27.0,27,2
2048,87,23.0,23,2
2048,88,16.0,16,2
2048,89,14.0,14,2
2048,90,16.0,16,2
2048,91,18.0,18,2
2048,92,11.0,11,2
2048,93,37.0,37,2
2048,94,16.0,16,2
2048,95,10.0,10,2
2048,96,36.0,36,2
2048,97,12.0,12,2
2048,98,19.0,19,2
2048,99,12.0,12,2
2048,100,21.0,21,2
2048,101,12.0,12,2
2048,102,9.0,9,2
2048,103,8.0,8,2
4096,104,57.0,57,2
4096,105,26.0,26,2
4096,106,13.0,13,2
4096,107,15.0,15,2
4096,108,23.0,23,2
4096,109,33.0,33,2
4096,110,15.0,15,2
4096,111,20.0,20,2
4096,112,16.0,16,2
4096,113,58.0,58,2
4096,114,14.0,14,2
4096,115,14.0,14,2
4096,116,26.0,26,2
4096,117,58.0,58,2
4096,118,104.0,104,2
4096,119,31.0,31,2
4096,120,20.0,20,2
4096,121,15.0,15,2
4096,122,17.0,17,2
4096,123,12.0,12,2
4096,124,23.0,23,2
4096,125,43.0,43,2
4096,126,15.0,15,2
4096,127,34.0,34,2
4096,128,64.0,64,2
4096,129,59.0,59,2
4096,130,28.0,28,2
4096,131,60.0,60,2
4096,132,14.0,14,2
4096,133,20.0,20,2
4096,134,30.0,30,2
4096,135,23.0,23,2
4096,136,31.0,31,2
4096,137,16.0,16,2
4096,138,10.0,10,2
4096,139,71.0,71,2
4096,140,14.0,14,2
4096,141,46.0,46,2
4096,142,20.0,20,2
4096,143,21.0,21,2
4096,144,19.0,19,2
4096,145,25.0,25,2
4096,146,47.0,47,2
4096,147,15.0,15,2
4096,148,48.0,48,2
4096,149,47.0,47,2
4096,150,15.0,15,2
4096,151,17.0,17,2
4096,152,65.0,65,2
4096,153,28.0,28,2
4096,154,32.0,32,2
4096,155,11.0,11,2
4096,156,19.0,19,2
4096,157,54.0,54,2
4096,158,50.0,50,2
4096,159,29.0,29,2
4096,160,24.0,24,2
4096,161,27.0,27,2
4096,162,10.0,10,2
4096,163,33.0,33,2
4096,164,38.0,38,2
4096,165,30.0,30,2
4096,166,14.0,14,2
4096,167,22.0,22,2
4096,168,48.0,48,2
6144,169,127.0,127,2
6144,170,10.0,10,2
6144,171,69.0,69,2
6144,172,78.0,78,2
6144,173,19.0,19,2
6144,174,155.0,155,2
6144,175,23.0,23,2
6144,176,108.0,108,2
6144,177,46.0,46,2
6144,178,28.0,28,2
6144,179,109.0,109,2
6144,180,76.0,76,2
6144,181,48.0,48,2
6144,182,11.0,11,2
6144,183,33.0,33,2
6144,184,42.0,42,2
6144,185,43.0,43,2
6144,186,118.0,118,2
6144,187,80.0,80,2
