step,episode,episode_return,episode_length,seed
2048,1,18.0,18,0
2048,2,16.0,16,0
2048,3,11.0,11,0
2048,4,14.0,14,0
2048,5,18.0,18,0
2048,6,13.0,13,0
2048,7,32.0,32,0
2048,8,22.0,22,0
2048,9,21.0,21,0
2048,10,13.0,13,0
2048,11,20.0,20,0
2048,12,17.0,17,0
2048,13,47.0,47,0
2048,14,15.0,15,0
2048,15,12.0,12,0
2048,16,13.0,13,0
2048,17,18.0,18,0
2048,18,35.0,35,0
2048,19,27.0,27,0
2048,20,30.0,30,0
2048,21,19.0,19,0
2048,22,34.0,34,0
2048,23,34.0,34,0
2048,24,29.0,29,0
2048,25,33.0,33,0
2048,26,16.0,16,0
2048,27,26.0,26,0
2048,28,34.0,34,0
2048,29,23.0,23,0
2048,30,12.0,12,0
2048,31,9.0,9,0
2048,32,37.0,37,0
2048,33,12.0,12,0
2048,34,13.0,13,0
2048,35,15.0,15,0
2048,36,17.0,17,0
2048,37,31.0,31,0
2048,38,38.0,38,0
2048,39,19.0,19,0
2048,40,19.0,19,0
2048,41,17.0,17,0
2048,42,19.0,19,0
2048,43,10.0,10,0
2048,44,16.0,16,0
2048,45,19.0,19,0
2048,46,12.0,12,0
2048,47,20.0,20,0
2048,48,58.0,58,0
2048,49,19.0,19,0
2048,50,32.0,32,0
2048,51,16.0,16,0
2048,52,25.0,25,0
2048,53,25.0,25,0
2048,54,27.0,27,0
2048,55,18.0,18,0
2048,56,21.0,21,0
2048,57,12.0,12,0
2048,58,12.0,12,0
2048,59,14.0,14,0
2048,60,15.0,15,0
2048,61,54.0,54,0
2048,62,21.0,21,0
2048,63,18.0,18,0
2048,64,58.0,58,0
2048,65,29.0,29,0
2048,66,33.0,33,0
2048,67,28.0,28,0
2048,68,10.0,10,0
2048,69,47.0,47,0
2048,70,21.0,21,0
2048,71,12.0,12,0
2048,72,17.0,17,0
2048,73,26.0,26,0
2048,74,22.0,22,0
2048,75,33.0,33,0
2048,76,57.0,57,0
2048,77,33.0,33,0
2048,78,14.0,14,0
2048,79,16.0,16,0
2048,80,13.0,13,0
2048,81,19.0,19,0
2048,82,9.0,9,0
2048,83,23.0,23,0
2048,84,50.0,50,0
2048,85,19.0,19,0
2048,86,56.0,56,0
4096,87,18.0,18,0
4096,88,13.0,13,0
4096,89,42.0,42,0
4096,90,21.0,21,0
4096,91,31.0,31,0
4096,92,40.0,40,0
4096,93,25.0,25,0
4096,94,17.0,17,0
4096,95,29.0,29,0
4096,96,19.0,19,0
4096,97,30.0,30,0
4096,98,31.0,31,0
4096,99,20.0,20,0
4096,100,11.0,11,0
4096,101,39.0,39,0
4096,102,13.0,13,0
4096,103,19.0,19,0
4096,104,27.0,27,0
4096,105,21.0,21,0
4096,106,29.0,29,0
4096,107,23.0,23,0
4096,108,31.0,31,0
4096,109,13.0,13,0
4096,110,18.0,18,0
4096,111,37.0,37,0
4096,112,54.0,54,0
4096,113,24.0,24,0
4096,114,21.0,21,0
4096,115,30.0,30,0
4096,116,72.0,72,0
