step,episode,episode_return,episode_length,seed
10240,215,17.0,17,1
10240,216,120.0,120,1
10240,217,115.0,115,1
10240,218,172.0,172,1
10240,219,135.0,135,1
12288,220,170.0,170,1
12288,221,329.0,329,1
12288,222,194.0,194,1
12288,223,203.0,203,1
12288,224,70.0,70,1
12288,225,85.0,85,1
12288,226,105.0,105,1
12288,227,106.0,106,1
12288,228,275.0,275,1
12288,229,100.0,100,1
12288,230,216.0,216,1
12288,231,91.0,91,1
14336,232,434.0,434,1
14336,233,217.0,217,1
14336,234,147.0,147,1
14336,235,253.0,253,1
14336,236,120.0,120,1
14336,237,168.0,168,1
14336,238,199.0,199,1
14336,239,500.0,500,1
16384,240,394.0,394,1
16384,241,226.0,226,1
16384,242,381.0,381,1
16384,243,500.0,500,1
16384,244,288.0,288,1
18432,245,432.0,432,1
18432,246,299.0,299,1
18432,247,481.0,481,1
18432,248,500.0,500,1
20480,249,384.0,384,1
20480,250,434.0,434,1
20480,251,309.0,309,1
20480,252,268.0,268,1
20480,253,339.0,339,1
22528,254,500.0,500,1
22528,255,500.0,500,1
22528,256,500.0,500,1
22528,257,401.0,401,1
24576,258,438.0,438,1
24576,259,500.0,500,1
24576,260,500.0,500,1
24576,261,500.0,500,1
26624,262,442.0,442,1
26624,263,500.0,500,1
26624,264,500.0,500,1
26624,265,500.0,500,1
28672,266,500.0,500,1
28672,267,500.0,500,1
28672,268,500.0,500,1
28672,269,500.0,500,1
30720,270,500.0,500,1
30720,271,500.0,500,1
30720,272,500.0,500,1
30720,273,500.0,500,1
32768,274,500.0,500,1
32768,275,500.0,500,1
32768,276,500.0,500,1
32768,277,500.0,500,1
34816,278,500.0,500,1
34816,279,500.0,500,1
34816,280,500.0,500,1
34816,281,500.0,500,1
36864,282,500.0,500,1
36864,283,500.0,500,1
36864,284,500.0,500,1
36864,285,297.0,297,1
38912,286,500.0,500,1
38912,287,500.0,500,1
38912,288,500.0,500,1
38912,289,500.0,500,1
40960,290,500.0,500,1
40960,291,217.0,217,1
40960,292,500.0,500,1
40960,293,370.0,370,1
43008,294,500.0,500,1
43008,295,500.0,500,1
43008,296,500.0,500,1
43008,297,449.0,449,1
45056,298,500.0,500,1
45056,299,153.0,153,1
45056,300,330.0,330,1
45056,301,326.0,326,1
45056,302,405.0,405,1
45056,303,327.0,327,1
47104,304,500.0,500,1
47104,305,500.0,500,1
47104,306,500.0,500,1
47104,307,500.0,500,1
49152,308,500.0,500,1
49152,309,381.0,381,1
49152,310,500.0,500,1
49152,311,500.0,500,1
51200,312,500.0,500,1
51200,313,500.0,500,1
51200,314,414.0,414,1
51200,315,500.0,500,1
53248,316,500.0,500,1
53248,317,371.0,371,1
53248,318,500.0,500,1
53248,319,500.0,500,1
55296,320,500.0,500,1
55296,321,500.0,500,1
55296,322,500.0,500,1
55296,323,500.0,500,1
57344,324,445.0,445,1
57344,325,500.0,500,1
57344,326,500.0,500,1
57344,327,466.0,466,1
59392,328,500.0,500,1
59392,329,500.0,500,1
59392,330,500.0,500,1
59392,331,500.0,500,1
61440,332,500.0,500,1
61440,333,312.0,312,1
61440,334,500.0,500,1
61440,335,500.0,500,1
63488,336,500.0,500,1
63488,337,500.0,500,1
63488,338,406.0,406,1
63488,339,500.0,500,1
65536,340,500.0,500,1
65536,341,500.0,500,1
65536,342,457.0,457,1
65536,343,500.0,500,1
67584,344,500.0,500,1
67584,345,500.0,500,1
67584,346,500.0,500,1
67584,347,138.0,138,1
69632,348,500.0,500,1
69632,349,500.0,500,1
69632,350,480.0,480,1
69632,351,500.0,500,1
71680,352,500.0,500,1
71680,353,500.0,500,1
71680,354,500.0,500,1
71680,355,500.0,500,1
73728,356,312.0,312,1
73728,357,198.0,198,1
73728,358,459.0,459,1
73728,359,245.0,245,1
73728,360,500.0,500,1
75776,361,464.0,464,1
75776,362,500.0,500,1
75776,363,500.0,500,1
75776,364,500.0,500,1
